n_odds	isEulerian	listPairs	time_tmp	time_for	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
6	538	22340	3276	212	4695	372	4013	31958	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	511	22201	3070	179	4436	409	4094	31651	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	508	22670	3249	209	4595	362	3934	32069	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	521	22156	3213	213	4601	395	3946	31619	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	495	22154	3174	216	4577	328	3996	31550	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	526	22256	3407	216	4787	313	3912	31794	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	547	22711	3150	242	4497	341	4052	32148	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	493	22216	3174	195	4551	344	4079	31683	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	475	22340	3045	220	4344	338	3810	31307	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	483	22279	3457	218	4986	357	3919	32024	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	625	23421	3461	219	4900	377	4188	33511	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	507	22990	3163	208	4493	398	4332	32720	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	436	22266	3208	213	4526	316	3941	31485	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	535	22037	3067	201	4345	345	3843	31105	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	528	22298	3034	201	4336	345	3874	31381	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	519	21653	3224	227	4618	348	3981	31119	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	422	22765	3391	215	4698	342	3955	32182	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	422	26413	29991	234	31438	725	23109	82107	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	550	22213	3311	230	4684	374	4087	31908	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	534	22226	3135	206	4699	359	4183	32001	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	612	22380	3219	218	4520	352	3888	31752	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	490	22085	3124	196	4431	339	3847	31192	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
