n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
6	792	27797	116707	520	4217	150033	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	517	22842	117289	495	3621	144764	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	518	22627	117153	519	3653	144470	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	474	23138	118014	584	3630	145840	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	518	22739	115968	435	3727	143387	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	499	23016	117222	501	3698	144936	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	540	22882	136058	482	3697	163659	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	500	22658	133543	534	3703	160938	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	528	22968	129649	458	3649	157252	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	464	23669	123557	429	4116	152235	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	542	22876	121546	418	3684	149066	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	521	23620	110307	479	3714	138641	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	497	22786	118981	384	3749	146397	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	687	23705	127845	731	3777	156745	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	490	23912	129737	487	3591	158217	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	424	22930	117919	509	3843	145625	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	508	22766	115517	583	3719	143093	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	453	22528	129018	500	3844	156343	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	528	22953	129964	514	3668	157627	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	543	23271	111014	484	3533	138845	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	544	22995	104263	517	3777	132096	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	548	23609	99311	470	3690	127628	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	585	22959	131730	488	4142	159904	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	504	22714	11048245	1021	4451	11076935	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	495	22506	115819	448	3655	142923	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	521	22626	118137	498	3746	145528	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	601	23125	131410	494	3663	159293	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	568	23234	127714	488	3714	155718	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	530	22650	135548	491	3649	162868	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	421	22856	3762206	509	4119	3790111	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	458	22778	129361	433	3701	156731	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	531	22941	131856	472	3671	159471	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	548	22832	109142	468	3794	136784	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	536	22577	129883	509	3926	157431	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	515	23419	129378	529	3712	157553	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	477	23676	111679	483	3697	140012	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	641	22427	131575	498	3593	158734	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	520	22374	131513	480	3703	158590	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	518	28436	11147417	1802	4443	11182616	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	516	24201	128505	493	3863	157578	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	501	22646	132187	467	3742	159543	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	509	22623	132601	506	4094	160333	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	507	22592	128289	515	3780	155683	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	526	22673	129497	465	3602	156763	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	524	22626	129425	480	3707	156762	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	545	22688	132036	482	3943	159694	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	537	22512	127656	463	3619	154787	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	581	23750	112202	562	3908	141003	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	533	22570	131247	488	3900	158738	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	521	22985	110595	561	3666	138328	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
