n_odds	isEulerian	listPairs	time_tmp	time_for	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
6	552	23573	127143	10366	140048	414	3956	168543	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	544	47586	172920	9389	184816	396	3985	237327	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	524	23294	136300	11133	150153	459	4080	178510	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	558	23563	127068	9890	139686	429	3823	168059	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	541	23037	146125	9940	158622	461	4027	186688	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	572	22760	143717	10457	156236	392	3764	183724	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	534	22359	123792	11188	137343	431	3968	164635	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	571	22567	146157	10300	159013	402	4007	186560	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	532	22752	148950	9797	161295	422	3817	188818	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	749	23224	11233672	11636	11252974	2707	5739	11285393	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	470	22758	126028	9692	137871	390	3637	165126	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	555	23907	127853	10352	140682	455	4059	169658	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	525	24370	118714	10423	131553	453	3944	160845	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	545	23980	134980	9581	147029	423	4016	175993	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	532	23443	134823	11623	148953	470	3896	177294	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	549	23311	151555	9622	163635	448	3866	191809	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	539	23796	135525	9935	147888	377	3792	176392	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	541	23898	135747	10518	148460	473	3724	177096	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	996	42038	175644	10671	188988	542	3810	236374	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	541	23796	146364	9562	158476	467	3930	187210	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	558	22812	116656	10848	129964	491	3922	157747	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	569	22870	128622	10637	141558	433	3831	169261	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	573	23225	150127	9460	161946	521	3998	190263	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	629	22951	133199	10224	145397	415	3701	173093	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	553	22770	10895362	10054	10908345	454	4176	10936298	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	569	23548	143273	10018	155962	385	3707	184171	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	560	23740	124043	9458	136053	421	3883	164657	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	571	23288	122197	9767	134322	439	3877	162497	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	566	23591	123892	10140	136567	440	3826	164990	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	523	22970	137917	9872	150239	386	3867	177985	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	439	22650	149974	10207	162826	476	3890	190281	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	445	22716	144282	9761	156557	386	3917	184021	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	582	24256	10949764	10753	10963797	466	3976	10993077	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	556	23305	128295	10164	140941	423	3976	169201	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	567	22248	145773	10962	159326	446	3839	186426	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	576	23948	123095	9748	134868	513	3732	163637	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	459	23606	112324	9820	124592	379	4024	153060	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	447	22593	126170	10105	138792	447	3920	166199	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	445	23805	121310	11236	135165	468	3886	163769	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	582	22978	143168	10148	155832	438	4245	184075	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	520	22827	7710123	10626	7723493	444	4171	7751455	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	540	22946	129584	9698	141820	417	3912	169635	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	466	22900	124949	11224	138972	535	4106	166979	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	524	22886	10945372	12587	10961136	497	3932	10988975	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	620	22514	133280	9564	144986	443	3865	172428	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	483	22676	145944	10023	158527	334	3852	185872	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	575	22769	142484	8923	153984	406	3881	181615	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	573	23012	137094	11309	150995	482	4074	179136	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	484	24219	110496	10860	124057	420	3912	153092	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	635	24200	149729	10783	163062	467	3825	192189	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
