n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
16	689	303081	419149407	6419	14832	419474428	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 3 4 2 4 7 6 5 0
16	533	248222	406252087	5979	15442	406522263	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
16	631	264518	408353405	6742	15116	408640412	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	532	253168	407854354	6508	15174	408129736	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
16	597	275656	419914875	5017	15668	420211813	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
16	608	261072	410340312	5518	15224	410622734	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
16	624	261446	412509934	6722	15570	412794296	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
16	650	360877	408275353	7027	15366	408659273	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	622	261952	415707789	7040	15029	415992432	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
16	545	276709	418285279	7044	15330	418584907	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 3 4 2 4 7 6 5 0
16	618	254373	405763259	6288	15582	406040120	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
16	718	251986	415929512	6323	15529	416204068	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
16	574	247256	409662960	6575	15485	409932850	37	P: 0 1 2 6 7 12 13 18 19 17 15 14 16 17 16 18 13 11 9 14 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
16	597	280891	407184585	6605	15028	407487706	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
