n_odds	isEulerian	listPairs	time_tmp	time_for	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
6	546	23304	131659	10184	144384	474	4003	172711	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	474	23789	137012	10813	150353	427	3953	178996	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	442	23456	8112781	9896	8126097	1006	4469	8155470	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	687	37273	126877	11040	141577	607	5201	185345	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	527	23829	120997	9698	133130	503	3952	161941	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	507	22942	119833	9383	131684	458	4041	159632	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	461	23358	120143	10566	133265	552	4132	161768	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	552	24389	121493	11308	135336	420	4028	164725	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	564	24617	114626	10907	127785	416	3800	157182	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	530	23645	139519	10619	152584	418	4025	181202	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	560	24113	119992	10465	133023	472	3947	162115	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	464	23527	144467	10464	157453	433	4080	185957	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	649	23656	135349	10274	148240	522	4160	177227	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	439	23108	118224	9026	129642	460	3849	157498	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	756	22894	119085	11560	133845	510	4076	162081	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	565	23355	116547	10368	129230	405	3860	157415	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	588	22520	123579	10550	136601	425	3985	164119	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	542	22492	110815	10979	124227	434	3891	151586	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	588	24204	121065	11166	134941	470	3925	164128	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	534	24501	109653	10240	122438	443	3954	151870	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	540	23590	3814655	9964	3827218	414	4425	3856187	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	579	23887	11054879	11033	11071556	955	4558	11101535	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	567	22937	122239	9596	134486	411	3777	162178	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	842	24850	165001	10092	177790	464	4068	208014	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	566	23574	117087	10782	130546	436	3952	159074	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	459	23114	116956	24050	143604	435	3865	171477	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	582	24721	119222	9925	131741	399	4111	161554	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	541	24385	122978	10827	136454	451	4138	165969	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	508	23265	112624	10810	125757	497	3862	153889	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	550	23768	121229	11281	134979	426	4009	163732	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	520	23016	133209	9689	145463	398	3826	173223	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	474	23016	111862	9484	123674	515	3850	151529	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	485	22606	116497	9867	128817	410	4005	156323	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	566	22578	110225	9322	121523	470	3739	148876	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	507	23941	113637	10699	126215	417	4163	155243	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	555	23653	10154796	10187	10167918	466	4266	10196858	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	532	23264	136870	10669	150073	413	3896	178178	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	478	24194	129920	10506	142900	476	3952	172000	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	525	23991	128193	11480	142113	792	3962	171383	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	534	24182	128821	9493	141017	471	4210	170414	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	595	24961	109264	9157	120784	442	4085	150867	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	573	23769	117393	9808	129404	411	4218	158375	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	611	23737	110683	11041	124137	456	4194	153135	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	584	23129	165905	9903	177927	443	3712	205795	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	472	23670	109346	9680	121332	416	3956	149846	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	555	23822	121117	9751	133576	478	3904	162335	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	523	24211	135355	9406	147430	451	3961	176576	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	514	22497	19062458	11334	19080271	1013	4525	19108820	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	543	25705	122639	10139	135375	454	4090	166167	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	492	23493	112090	10716	125346	441	3946	153718	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
